filenames,20210713-151409,20210713-160536,20210713-202446,20210714-023953,20210714-024731,20210714-025049,20210714-031111,20210714-031825,20210714-095418,20210718-014112,20210718-014612,20210718-015056,20210718-022910,20210718-023252,20210719-020610,20210719-104859,20210719-162019
16080161555_c3000e2f09_o__0_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1
16080161555_c3000e2f09_o__0_0__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
16080161555_c3000e2f09_o__0_0__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1
16080161555_c3000e2f09_o__0_0__r_90,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,0
16080161555_c3000e2f09_o__0_1024__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__0_1024__r_180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__0_1024__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__0_1024__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__0_256__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0
16080161555_c3000e2f09_o__0_256__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,0.0,2
16080161555_c3000e2f09_o__0_256__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0
16080161555_c3000e2f09_o__0_256__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2.0,1
16080161555_c3000e2f09_o__0_512__,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0,0.0,0
16080161555_c3000e2f09_o__0_512__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,1
16080161555_c3000e2f09_o__0_512__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,2
16080161555_c3000e2f09_o__0_512__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0
16080161555_c3000e2f09_o__0_768__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__0_768__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,
16080161555_c3000e2f09_o__0_768__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__0_768__r_90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
16080161555_c3000e2f09_o__1024_0__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
16080161555_c3000e2f09_o__1024_0__r_180,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,1
16080161555_c3000e2f09_o__1024_0__r_270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
